_id;Source_ID;Reference;BibTeX_reference;Title;Year;Type;Journal;Authors;DOI;Volume;Issue;Pages;Editors;Book_title;URL;Institution;Location;Thesis_type
362;AD1_2010__Redpath;Redpath et al. 2010;RedpathEtAl2010;Crofting and bumblebee conservation: the impact of land management practices on bumblebee populations in northwest Scotland;2010;Journal Article;Biological Conservation;Redpath, Nicola;;;;;;;;;;
363;DI1_2012__Reid;Reid et al. 2012;ReidEtAl2012;Avian habitat preference in tropical forest restoration in southern Costa Rica;2012;Journal Article;Biotropica;Reid, J. L.;;;;;;;;;;
364;DL1_2007__Reis;Reis and Cancello 2007;ReisAndCancello2007;Termite (Insecta, Isoptera) richness in primary and secondary Atlantic Forest in southeastern Bahia;2007;Journal Article;Iheringia Serie Zoologia;Reis, Yana T.;;;;;;;;;;
365;SC1_2010__ReyBenayas;Rey-Benayas et al. 2010;ReyBenayasEtAl2010;Differential effects of vegetation restoration in Mediterranean abandoned cropland by secondary succession and pine plantations on bird assemblages;2010;Journal Article;Forest Ecology and Management;Rey-Benayas, Jose M.;;;;;;;;;;
367;MJ1_2013__Reynolds;Reynolds and Symes 2013;ReynoldsAndSymes2013;Grassland bird response to vegetation structural heterogeneity and clearing of invasive bramble;2013;Journal Article;African Zoology;Reynolds, C.;;;;;;;;;;
366;SE1_2012__Rey;Rey-Velasco and Miranda-Esquivel 2012;ReyVelascoAndMirandaEsquivel2012;Unpublished data of the response of ground beetles (Coleoptera: Carabidae) in the northeastern Colombian Andes to habitat modification;2012;Unpublished Work;;Rey-Velasco, Juan Carlos;;;;;;;;;;
368;DL1_2012__Ribeiro;Ribeiro and Freitas 2012;RibeiroAndFreitas2012;The effect of reduced-impact logging on fruit-feeding butterflies in Central Amazon, Brazil;2012;Journal Article;Journal of Insect Conservation;Ribeiro, Danilo B.;;;;;;;;;;
369;AD1_2011__Richards;Richards et al. 2011;RichardsEtAl2011;Bee diversity in naturalizing patches of Carolinian grasslands in southern Ontario, Canada;2011;Journal Article;Canadian Entomologist;Richards, M. H.;;;;;;;;;;
370;SC1_2005__Richardson;Richardson et al. 2005;RichardsonEtAl2005;Separating the effects of forest type and elevation on the diversity of litter invertebrate communities in a humid tropical forest in Puerto Rico;2005;Journal Article;Journal of Animal Ecology;Richardson, B. A.;;;;;;;;;;
371;HW1_2011__Robinson;Robinson and Williams 2011;RobinsonAndWilliams2011;FORESTCHECK: the response of epigeous macrofungi to silviculture in jarrah (Eucalyptus marginata) forest;2011;Journal Article;Australian Forestry;Robinson, R. M.;;;;;;;;;;
372;DB1_2011__Robles;Robles et al. 2011;RoblesEtAl2011;Screening of xylophagous fungi associated with Platanus acerifolia in urban landscapes: biodiversity and potential biodeterioration;2011;Journal Article;Landscape and Urban Planning;Robles, C. A.;;;;;;;;;;
373;DL1_2013__Rodrigues;Rodrigues et al. 2013;RodriguesEtAl2013;Dung beetles (Coleoptera: Scarabaeoidea) in three landscapes in Mato Grosso do Sul, Brazil;2013;Journal Article;Brazilian Journal of Biology;Rodrigues, M. M.;;;;;;;;;;
375;CM1_2007__RomeroDuque;Romero-Duque et al. 2007;RomeroDuqueEtAl2007;Structure and diversity of secondary tropical dry forests in Mexico, differing in their prior land-use history;2007;Journal Article;Forest Ecology and Management;Romero-Duque, L. P.;;;;;;;;;;
377;SE1_2011__Rosselli;Rosselli 2011;Rosselli2011;Factores ambientales relacionados con la presencia y abundancia de las aves de los humedales de la Sabana de BogotÃ¡;2011;Thesis;;Rosselli, Loreta;;;5356;151;;Facultad de Ciencias;http://www.bdigital.unal.edu.co/5356/;Universidad Nacional de Colombia;BogotÃ¡, Colombia;PhD
378;TN1_1994__Roth;Roth et al. 1994;RothEtAl1994;The effects of management systems on ground-foraging ant diversity in Costa Rica;1994;Journal Article;Ecological Applications;Roth, D. S.;;;;;;;;;;
379;MH1_2010__CATIE;Rousseau et al. 2012;RousseauEtAl2012;Indicating soil quality in cacao-based agroforestry systems and old-growth forests: the potential of soil macrofauna assemblage;2012;Journal Article;Ecological Indicators;Rousseau, G.X.;;;;;;;;;;
380;DI1_2013__Rousseau;Rousseau et al. 2013;RousseauEtAl2013;Soil macrofauna as indicators of soil quality and land use impacts in smallholder agroecosystems of western Nicaragua;2013;Journal Article;Ecological Indicators;Rousseau, L.;;;;;;;;;;
381;SC1_2011__Rubio;Rubio and Simonetti 2011;RubioAndSimonetti2011;Lizard assemblages in a fragmented landscape of central Chile;2011;Journal Article;European Journal of Wildlife Research;Rubio, Andre V.;;;;;;;;;;
382;CM1_2011__Safian;Safian et al. 2011;SafianEtAl2011;Butterfly community recovery in degraded rainforest habitats in the Upper Guinean Forest Zone (Kakum forest, Ghana);2011;Journal Article;Journal of Insect Conservation;Safian, S.;;;;;;;;;;
383;HB1_2008__Sakchoowong;Sakchoowong et al. 2008;SakchoowongEtAl2008;Diversity of pselaphine beetles (Coleoptera: Staphylinidae: Pselaphinae) in eastern Thailand;2008;Journal Article;Entomological Science;Sakchoowong, Watana;;;;;;;;;;
384;DI1_2010__SaldanaVazquez;SaldaÃ±a-VÃ¡zquez et al. 2010;SaldanaVazquezEtAl2010;Abundance responses of frugivorous bats (Stenodermatinae) to coffee cultivation and selective logging practices in mountainous central Veracruz, Mexico;2010;Journal Article;Biodiversity and Conservation;SaldaÃ±a-VÃ¡zquez, R. A.;;;;;;;;;;
385;SC1_2014__Sam;Sam et al. 2014;SamEtAl2014;Effect of forest fragmentation on bird species richness in Papua New Guinea;2014;Journal Article;Journal of Field Ornithology;Sam, Katerina;;;;;;;;;;
386;AD1_2011__Samnegard;SamnegÃ¥rd et al. 2011;SamnegardEtAl2011;Gardens benefit bees and enhance pollination in intensively managed farmland;2011;Journal Article;Biological Conservation;SamnegÃ¥rd, Ulrika;;;;;;;;;;
387;SC2_2012__Santana;Santana et al. 2012;SantanaEtAl2012;Long-term responses of Mediterranean birds to forest fuel management;2012;Journal Article;Journal of Applied Ecology;Santana, Joana;;;;;;;;;;
389;HW1_2011__Savage;Savage et al. 2011;SavageEtAl2011;Effects of habitat size, vegetation cover, and surrounding land use on Diptera diversity in temperate nearctic bogs;2011;Journal Article;Wetlands;Savage, J.;;;;;;;;;;
396;AD1_2011__Schuepp;SchÃ¼epp et al. 2011;SchueppEtAl2011;Differential effects of habitat isolation and landscape composition on wasps, bees, and their enemies;2011;Journal Article;Oecologia;SchÃ¼epp, Christof;;;;;;;;;;
397;SC1_2012__Schuepp;SchÃ¼epp et al. 2012;SchueppEtAl2012;High bee and wasp diversity in a heterogeneous tropical farming system compared to protected forest;2012;Journal Article;PLOS ONE;SchÃ¼epp, Christof;;;;;;;;;;
390;KS1_2005__Schilthuizen;Schilthuizen et al. 2005;SchilthuizenEtAl2005;Effects of karst forest degradation on pulmonate and prosobranch land snail communities in Sabah, Malaysian Borneo;2005;Journal Article;Conservation Biology;Schilthuizen, M.;;;;;;;;;;
391;MG1_2012__Schmidt;Schmidt et al. 2012;SchmidtEtAl2012;Does cattle grazing affect ant abundance and diversity in temperate grasslands?;2012;Journal Article;Rangeland Ecology & Management;Schmidt, Amanda C.;;;;;;;;;;
392;HP1_2009__Schmitt;Schmitt et al. 2010;SchmittEtAl2010;Wild coffee management and plant diversity in the montane rainforest of southwestern Ethiopia;2010;Journal Article;African Journal of Ecology;Schmitt, Christine B.;;;;;;;;;;
393;CC1_2008__Schon;Schon et al. 2008;SchonEtAl2008;Soil fauna in grazed New Zealand hill country pastures at two management intensities;2008;Journal Article;Applied Soil Ecology;Schon, N. L.;;;;;;;;;;
394;CC1_2010__Schon;Schon et al. 2010;SchonEtAl2010;Separating the effects of defoliation and dairy cow treading pressure on the abundance and diversity of soil invertebrates in pastures;2010;Journal Article;Applied Soil Ecology;Schon, N. L.;;;;;;;;;;
395;MG1_2011__Schon;Schon et al. 2011;SchonEtAl2011;Soil fauna in sheep-grazed hill pastures under organic and conventional livestock management and in an adjacent ungrazed pasture;2011;Journal Article;Pedobiologia;Schon, N. L.;;;;;;;;;;
398;GP1_2011__Schumann;Schumann et al. 2011;SchumannEtAl2011;Impact of land-use type and harvesting on population structure of a non-timber forest product-providing tree in a semi-arid savanna, West Africa;2011;Journal Article;Biological Conservation;Schumann, K.;;;;;;;;;;
399;DI1_2006__Scott;Scott et al. 2006;ScottEtAl2006;The impacts of forest clearance on lizard, small mammal and bird communities in the arid spiny forest, southern Madagascar;2006;Journal Article;Biological Conservation;Scott, D. M.;;;;;;;;;;
400;GP1_2010__Scott;Scott et al. 2010;ScottEtAl2010;Fire tolerance of perennial grass tussocks in a savanna woodland;2010;Journal Article;Austral Ecology;Scott, K. A.;;;;;;;;;;
401;HB1_2008__Sedlock;Sedlock et al. 2008;SedlockEtAl2008;Bat diversity in tropical forest and agro-pastoral habitats within a protected area in the Philippines;2008;Journal Article;Acta Chiropterologica;Sedlock, Jodi L.;;;;;;;;;;
402;LH1_2011__Shafie;Shafie et al. 2011;ShafieEtAl2011;Diversity pattern of bats at two contrasting habitat types along Kerian River, Perak, Malaysia;2011;Journal Article;Tropical Life Sciences Research;Shafie, Nur Juliani;;;;;;;;;;
403;HP1_2007__Shahabuddin;Shahabuddin and Kumar 2006;ShahabuddinAndKumar2006;Influence of anthropogenic disturbance on birds of tropical dry forest: the role of vegetation structure;2006;Journal Article;Animal Conservation;Shahabuddin, G.;;;;;;;;;;
404;HP1_2007__Shahabuddin;Shahabuddin and Kumar 2007;ShahabuddinAndKumar2007;Effects of extractive disturbance on bird assemblages, vegetation structure and floristics in tropical scrub forest, Sariska Tiger Reserve, India;2007;Journal Article;Forest Ecology and Management;Shahabuddin, Ghazala;;;;;;;;;;
405;GP1_2008__Shannon;Shannon et al. 2008;ShannonEtAl2008;The utilization of large savanna trees by elephant in southern Kruger National Park;2008;Journal Article;Journal of Tropical Ecology;Shannon, G.;;;;;;;;;;
406;SH1_2002__Sheil;Sheil et al. 2002;SheilEtAl2002;Exploring biological diversity, environment and local people's perspectives in forest landscapes: methods for a multidisciplinary landscape assessment;2002;Report;;Sheil, Douglas;;;;;;;;;;
407;MH1_2010__Sheldon;Sheldon et al. 2010;SheldonEtAl2010;Bird species richness in a Bornean exotic tree plantation: a long-term perspective;2010;Journal Article;Biological Conservation;Sheldon, FH;;;;;;;;;;
408;SH1_2004__Shochat;Shochat et al. 2004;ShochatEtAl2004;Urbanization and spider diversity: influences of human modification of habitat structure and productivity;2004;Journal Article;Ecological Applications;Shochat, E.;;;;;;;;;;
409;AD1_2005__Shuler;Shuler et al. 2005;ShulerEtAl2005;Farming practices influence wild pollinator populations on squash and pumpkin;2005;Journal Article;Journal of Economic Entomology;Shuler, R. E.;;;;;;;;;;
410;DL1_2012__Siebert;Siebert 2011;Siebert2011;Patterns of plant species richness of temperate and tropical grassland in South Africa;2011;Journal Article;Plant Ecology and Evolution;Siebert, S. J.;10.5091/plecevo.2011.501;144;3;249-254;;;;;;
412;DL1_2010__Silva;Silva et al. 2010;SilvaEtAl2010;Study of the dung beetle (Coleoptera: Scarabaeidae) community at two sites: atlantic forest and clear-cut, Pernambuco, Brazil;2010;Journal Article;Environmental Entomology;Silva, F. A. B.;;;;;;;;;;
413;AR1_2011__Slade;Slade et al. 2011;SladeEtAl2011;Biodiversity and ecosystem function of tropical forest dung beetles under contrasting logging regimes;2011;Journal Article;Biological Conservation;Slade, Eleanor M.;;;;;;;;;;
414;VB1_2006__Smith;Smith 2006;Smith2006;Arable field margins increase soil macroinvertebrate biodiversity in agroecosystems;2006;Thesis;;Smith, Joanne;;;;;;;;University of Reading;Reading, U.K.;PhD
415;VB1_2008__Smith;Smith et al. 2008;SmithEtAl2008;Can arable field margins be managed to enhance their biodiversity, conservation and functional value for soil macrofauna?;2008;Journal Article;Journal of Applied Ecology;Smith, J.;;;;;;;;;;
416;VB1_2008a_Smith;Smith et al. 2008a;SmithEtAl2008a;Evaluating the efficiency of sampling methods in assessing soil macrofauna communities in arable systems;2008;Journal Article;European Journal of Soil Biology;Smith, Joanne;;;;;;;;;;
417;SE1_2007__SmithPardo;Smith-Pardo and Gonzalez 2007;SmithPardoAndGonzalez2007;Diversidad de abejas (Hymenoptera: Apoidea) en estados sucesionales del bosque humedo tropical;2007;Journal Article;Acta BiolÃ³gica Colombiana;Smith-Pardo, Allan;;;;;;;;;;
418;JD1_2010__Sodhi;Sodhi et al. 2010;SodhiEtAl2010;Deforestation and avian extinction on tropical landbridge islands;2010;Journal Article;Conservation Biology;Sodhi, Navjot S.;;;;;;;;;;
419;TN1_2006__Soh;Soh et al. 2006;SohEtAl2006;High sensitivity of montane bird communities to habitat disturbance in Peninsular Malaysia;2006;Journal Article;Biological Conservation;Soh, M. C. K.;;;;;;;;;;
420;DL1_2010__Sosa;Sosa et al. 2010;SosaEtAl2010;Efecto del grado de disturbio sobre el ensamble de aves en la reserva provincial Parque Luro, La Pampa, Argentina;2010;Journal Article;Revista de la AsociaciÃ³n Argentina de EcologÃ­a de Paisajes;Sosa, R. A.;;;;;;;;;;
422;DI1_2008__Sridhar;Sridhar et al. 2008;SridharEtAl2008;Mammal persistence and abundance in tropical rainforest remnants in the southern Western Ghats, India;2008;Journal Article;Current Science;Sridhar, H.;;;;;;;;;;
423;VK1_2007__StLaurent;St-Laurent et al. 2007;StLaurentEtAl2007;Effects of stand structure and landscape characteristics on habitat use by birds and small mammals in managed boreal forest of eastern Canada;2007;Journal Article;Canadian Journal of Forest Research-Revue Canadienne de Recherche Forestiere;St-Laurent, M. H.;;;;;;;;;;
424;SC1_2011__Stouffer;Stouffer et al. 2011;StoufferEtAl2011;Understory bird communities in Amazonian rainforest fragments: species turnover through 25 years post-isolation in recovering landscapes;2011;Journal Article;PLOS ONE;Stouffer, Philip C.;;;;;;;;;;
426;VK1_2009__Strom;StrÃ¶m et al. 2009;StromEtAl2009;Different long-term and short-term responses of land snails to clear-cutting of boreal stream-side forests;2009;Journal Article;Biological Conservation;StrÃ¶m, Lotta;;;;;;;;;;
425;GP1_2012__Strauch;Strauch and Eby 2012;StrauchAndEby2012;The influence of fire frequency on the abundance of Maerua subcordata in the Serengeti National Park, Tanzania;2012;Journal Article;Journal of Plant Ecology;Strauch, A. M.;;;;;;;;;;
427;JD1_2008__Struebig;Struebig et al. 2008;StruebigEtAl2008;Conservation value of forest fragments to Palaeotropical bats;2008;Journal Article;Biological Conservation;Struebig, Matthew J.;;;;;;;;;;
428;DB1_2011__Su;Su et al. 2011;SuEtAl2011;Decline in the diversity of willow trunk-dwelling weevils (Coleoptera: Curculionoidea) as a result of urban expansion in Beijing, China;2011;Journal Article;Journal of Insect Conservation;Su, Z. M.;;;;;;;;;;
429;KS1_2009__SuarezRubio;Suarez-Rubio and Thomlinson 2009;SuarezRubioAndThomlinson2009;Landscape and patch-level factors influence bird communities in an urbanized tropical island;2009;Journal Article;Biological Conservation;Suarez-Rubio, M.;;;;;;;;;;
430;DL1_2009__Sugiura;Sugiura et al. 2009;SugiuraEtAl2009;Small off-shore islands can serve as important refuges for endemic beetle conservation;2009;Journal Article;Journal of Insect Conservation;Sugiura, S.;;;;;;;;;;
431;HW1_2011__Summerville;Summerville 2011;Summerville2011;Managing the forest for more than the trees: effects of experimental timber harvest on forest Lepidoptera;2011;Journal Article;Ecological Applications;Summerville, K. S.;10.1890/10-0715.1;21;3;806-816;;;;;;
432;SC1_2002__Summerville;Summerville and Crist 2002;SummervilleAndCrist2002;Effects of timber harvest on forest Lepidoptera: community, guild and species responses;2002;Journal Article;Ecological Applications;Summerville, K. S.;;;;;;;;;;
433;HW1_2006__Summerville;Summerville et al. 2006;SummervilleEtAl2006;Species traits as predictors of lepidopteran composition in restored and remnant tallgrass prairies;2006;Journal Article;Ecological Applications;Summerville, K. S.;;;;;;;;;;
434;YP1_2012__Sung;Sung et al. 2012;SungEtAl2012;Terrestrial herpetofaunal assemblages in secondary forests and exotic Lophostemon confertus plantations in South China;2012;Journal Article;Forest Ecology and Management;Sung, Y. H.;;;;;;;;;;
435;AR1_2010__Sutrisno;Sutrisno 2010;Sutrisno2010;The impact of human activities to dynamic of insect communities: a case study in Gunung Salak, West Java;2010;Journal Article;HAYATI Journal of Biosciences;Sutrisno, Hari;10.4308/hjb.17.4.161;17;4;161-166;;;;;;
436;HB1_1998__Svenning;Svenning 1998;Svenning1998;The effect of land-use on the local distribution of palm species in an Andean rain forest fragment in northwestern Ecuador;1998;Journal Article;Biodiversity and Conservation;Svenning, J. C.;10.1023/a:1008831600795;7;12;1529-1537;;;;;;
438;HW1_2012__Threlfall;Threlfall et al. 2012;ThrelfallEtAl2012;Sensitivity of insectivorous bats to urbanization: implications for suburban conservation planning;2012;Journal Article;Biological Conservation;Threlfall, C. G.;;;;;;;;;;
439;SH1_2011__Todd;Todd et al. 2011;ToddEtAl2011;Invertebrate community richness in New Zealand kiwifruit orchards under organic or integrated pest management;2011;Journal Article;Agriculture, Ecosystems & Environment;Todd, Jacqui H.;;;;;;;;;;
440;AD1_2011__Tonietto;Tonietto et al. 2011;ToniettoEtAl2011;A comparison of bee communities of Chicago green roofs, parks and prairies;2011;Journal Article;Landscape and Urban Planning;Tonietto, Rebecca;;;;;;;;;;
441;BS1_2014__Torre;Torre et al. 2014;TorreEtAl2014;Assessing the impact of reforestation on the diversity of Mediterranean terrestrial Gastropoda;2014;Journal Article;Biodiversity and Conservation;Torre, Ignasi;;;;;;;;;;
442;MH1_2009__Turner;Turner and Foster 2009;TurnerAndFoster2009;The impact of forest conversion to oil palm on arthropod abundance and biomass in Sabah, Malaysia;2009;Journal Article;Journal of Tropical Ecology;Turner, E. C.;;;;;;;;;;
443;DI1_2005__Tylianakis;Tylianakis et al. 2005;TylianakisEtAl2005;Spatiotemporal variation in the diversity of hymenoptera across a tropical habitat gradient;2005;Journal Article;Ecology;Tylianakis, J. M.;;;;;;;;;;
444;LH1_2005__UeharaPrado;Uehara-Prado 2005;UeharaPrado2005;Effects of land use on ant species composition and diaspore removal in exotic grasslands in the Brazilian Pantanal (Hymenoptera: Formicidae);2005;Journal Article;Sociobiology;Uehara-Prado, M.;;45;3;915-923;;;;;;
445;HP1_2007__UeharaPrado;Uehara-Prado et al. 2007;UeharaPradoEtAl2007;Species richness, composition and abundance of fruit-feeding butterflies in the Brazilian Atlantic Forest: comparison between a fragmented and a continuous landscape;2007;Journal Article;Global Ecology and Biogeography;Uehara-Prado, Marcio;;;;;;;;;;
446;VB1_2009__UeharaPrado;Uehara-Prado et al. 2009;UeharaPradoEtAl2009;Selecting terrestrial arthropods as indicators of small-scale disturbance: a first approach in the Brazilian Atlantic Forest;2009;Journal Article;Biological Conservation;Uehara-Prado, M.;;;;;;;;;;
447;SC1_2006__UrbinaCardona;Urbina-Cardona et al. 2006;UrbinaCardonaEtAl2006;Herpetofauna diversity and microenvironment correlates across a pasture-edge-interior ecotone in tropical rainforest fragments in the Los Tuxtlas Biosphere Reserve of Veracruz, Mexico;2006;Journal Article;Biological Conservation;Urbina-Cardona, J. Nicolas;;;;;;;;;;
448;SC1_2008__UrbinaCardona;Urbina-Cardona et al. 2008;UrbinaCardonaEtAl2008;Spatio-temporal dymanics of snake diversity in four habitats with different degrees of anthropogenic disturbance in the Gorgona Island National Natural Park in the Colombian Pacific;2008;Journal Article;Caldasia;Urbina-Cardona, JosÃ© NicolÃ¡s;;;;;;;;;;
449;KS1_2002__Vallan;Vallan 2002;Vallan2002;Effects of anthropogenic environmental changes on amphibian diversity in the rain forests of eastern Madagascar;2002;Journal Article;Journal of Tropical Ecology;Vallan, D.;10.1017/s026646740200247x;18;;725-742;;;;;;
450;MG1_2005__Vanbergen;Vanbergen et al. 2005;VanbergenEtAl2005;Effect of land-use heterogeneity on carabid communities at the landscape scale;2005;Journal Article;Ecography;Vanbergen, A. J.;;;;;;;;;;
451;HB1_1999__Vasconcelos;Vasconcelos 1999;Vasconcelos1999;Effects of forest disturbance on the structure of ground-foraging ant communities in central Amazonia;1999;Journal Article;Biodiversity and Conservation;Vasconcelos, H. L.;;8;3;409-420;;;;;;
452;HB1_2000__Vasconcelos;Vasconcelos et al. 2000;VasconcelosEtAl2000;Responses of ants to selective logging of a central Amazonian forest;2000;Journal Article;Journal of Applied Ecology;Vasconcelos, H. L.;;;;;;;;;;
453;GP1_2009__Vasconcelos;Vasconcelos et al. 2009;VasconcelosEtAl2009;Dynamics of the leaf-litter arthropod fauna following fire in a neotropical woodland savanna;2009;Journal Article;PLOS ONE;Vasconcelos, H. L.;;;;;;;;;;
454;MG1_2011__Vassilev;Vassilev et al. 2011;VassilevEtAl2011;Effect of land abandonment on the vegetation of upland semi-natural grasslands in the Western Balkan Mts., Bulgaria;2011;Journal Article;Plant Biosystems;Vassilev, K.;;;;;;;;;;
455;AD1_2012__Verboven;Verboven et al. 2012;VerbovenEtAl2012;Sex in the city: reproductive success of Digitalis purpurea in a gradient from urban to rural sites;2012;Journal Article;Landscape and Urban Planning;Verboven, Hans A. F.;;;;;;;;;;
457;DL1_2007__Verdu;VerdÃº et al. 2007;VerduEtAl2007;Grazing promotes dung beetle diversity in the xeric landscape of a Mexican Biosphere Reserve;2007;Journal Article;Biological Conservation;VerdÃº, JosÃ© R.;;;;;;;;;;
456;SC2_2012__Verdasca;Verdasca et al. 2012;VerdascaEtAl2012;Forest fuel management as a conservation tool for early successional species under agricultural abandonment: the case of Mediterranean butterflies;2012;Journal Article;Biological Conservation;Verdasca, Maria Joao;;;;;;;;;;
458;AD1_2009__Vergara;Vergara and Badano 2009;VergaraAndBadano2009;Pollinator diversity increases fruit production in Mexican coffee plantations: the importance of rustic management systems;2009;Journal Article;Agriculture Ecosystems & Environment;Vergara, Carlos H.;;;;;;;;;;
459;DL1_2004__Vergara;Vergara and Simonetti 2004;VergaraAndSimonetti2004;Avian responses to fragmentation of the Maulino Forest in central Chile;2004;Journal Article;Oryx;Vergara, P. M.;;;;;;;;;;
460;HB1_2004__Verhulst;Verhulst et al. 2004;VerhulstEtAl2004;Relationship between land-use intensity and species richness and abundance of birds in Hungary;2004;Journal Article;Agriculture Ecosystems & Environment;Verhulst, J.;;;;;;;;;;
461;MJ1_2011__Virgilio;Virgilio et al. 2011;VirgilioEtAl2011;A quantitative comparison of frugivorous tephritids (Diptera: Tephritidae) in tropical forests and rural areas of the Democratic Republic of Congo;2011;Journal Article;Bulletin of Entomological Research;Virgilio, M;;;;;;;;;;
462;SH1_2005__Vu;Vu 2005;Vu2005;Unpublished data of diversity and similarity of butterfly communities in five different habitat types at Tam Dao National Park, Vietnam;2005;Unpublished Work;;Vu, Lien Van;;;;;;;;;;
463;HB1_2009__Vu;Vu 2009;Vu2009;Diversity and similarity of butterfly communities in five different habitat types at Tam Dao National Park, Vietnam;2009;Journal Article;Journal of Zoology;Vu, L. V.;10.1111/j.1469-7998.2008.00498.x;277;1;15-22;;;;;;
464;CC1_2012__Waite;Waite 2012;Waite2012;The role of large, isolated trees in supporting urban biodiversity;2012;Thesis;;Waite, E. M.;;;;;;;;University of Otago, New Zealand;Dunedin, New Zealand;PhD
465;CC1_2012__Waite;Waite et al. 2012;WaiteEtAl2012;Arboreal arthropod sampling methods for urban trees;2012;Journal Article;Journal of Insect Conservation;Waite, Edward M.;;;;;;;;;;
466;CC1_2013__Waite;Waite et al. 2013;WaiteEtAl2013;Resource availability and foraging of Silvereyes (Zosterops lateralis) in urban trees;2013;Journal Article;Emu;Waite, Edward;;;;;;;;;;
467;VK1_2006__Walker;Walker et al. 2006;WalkerEtAl2006;An assessment of pollution impacts due to the oil and gas industries in the Pechora basin, north-eastern European Russia;2006;Journal Article;Ecological Indicators;Walker, T. R.;;;;;;;;;;
468;SH1_2014__Walker;Walker et al. 2014;WalkerEtAl2014;Complementarity of indigenous flora in shrublands and grasslands in a New Zealand dryland landscape;2014;Journal Article;New Zealand Journal of Ecology;Walker, S.;;;;;;;;;;
469;JD1_2010__Wang;Wang et al. 2010;WangEtAl2010;Nestedness for different reasons: the distributions of birds, lizards and small mammals on islands of an inundated lake;2010;Journal Article;Diversity and Distributions;Wang, Yanping;;;;;;;;;;
470;YP1_2011__Wang;Wang et al. 2011;WangEtAl2011;Understory plant diversity assessment of Eucalyptus plantations over three vegetation types in Yunnan, China;2011;Journal Article;New Forests;Wang, H. F.;;;;;;;;;;
471;JD1_2009__Watling;Watling et al. 2009;WatlingEtAl2009;Nested species subsets of amphibians and reptiles on Neotropical forest islands;2009;Journal Article;Animal Conservation;Watling, J. I.;;;;;;;;;;
472;DB1_2004__Weller;Weller and Ganzhorn 2004;WellerAndGanzhorn2004;Carabid beetle community composition, body size, and fluctuating asymmetry along an urban-rural gradient;2004;Journal Article;Basic and Applied Ecology;Weller, B.;;;;;;;;;;
473;HP1_2007__Wells;Wells et al. 2007;WellsEtAl2007;Effects of rain forest logging on species richness and assemblage composition of small mammals in Southeast Asia;2007;Journal Article;Journal of Biogeography;Wells, Konstans;;;;;;;;;;
474;LK1_2012__Wiafe;Wiafe and Amfo-Otu 2012;WiafeAndAmfoOtu2012;Forest duiker (Cephalophus spp.) abundance and hunting activities in the Kakum conservation area, Ghana;2012;Journal Article;Journal of Ecology and the Natural Environment;Wiafe, E. D.;;;;;;;;;;
475;SC1_2009__Williams;Williams et al. 2009;WilliamsEtAl2009;Hydrology and management of turloughs (temporary lakes) affect marsh fly (Sciomyzidae: Diptera) communities;2009;Journal Article;Insect Conservation and Diversity;Williams, Christopher D.;;;;;;;;;;
476;HP1_2007__Willig;Willig et al. 2007;WilligEtAl2007;Phyllostomid bats of lowland Amazonia: effects of habitat alteration on abundance;2007;Journal Article;Biotropica;Willig, Michael R.;;;;;;;;;;
477;AD1_2007__Winfree;Winfree et al. 2007;WinfreeEtAl2007;Effect of human disturbance on bee communities in a forested ecosystem;2007;Journal Article;Conservation Biology;Winfree, Rachael;;;;;;;;;;
478;HB1_2002__Woinarski;Woinarski and Ash 2002;WoinarskiAndAsh2002;Responses of vertebrates to pastoralism, military land use and landscape position in an Australian tropical savanna;2002;Journal Article;Austral Ecology;Woinarski, J. C. Z.;;;;;;;;;;
479;DL1_2009__Woinarski;Woinarski et al. 2009;WoinarskiEtAl2009;Fauna assemblages in regrowth vegetation in tropical open forests of the Northern Territory, Australia;2009;Journal Article;Wildlife Research;Woinarski, J. C. Z.;;;;;;;;;;
480;MG1_2007__Woodcock;Woodcock et al. 2007;WoodcockEtAl2007;The potential of grass field margin management for enhancing beetle diversity in intensive livestock farms;2007;Journal Article;Journal of Applied Ecology;Woodcock, B. A.;;;;;;;;;;
481;SE2_2014__Wronski;Wronski et al. 2014;WronskiEtAl2014;Species richness and meta-community structure of land snails along an altitudinal gradient on Bioko Island, Equatorial Guinea;2014;Journal Article;Journal of Molluscan Studies;Wronski, Torsten;;;;;;;;;;
482;HB1_2002__Wu;Wu et al. 2002;WuEtAl2002;Soil faunal response to land use: effect of estuarine tideland reclamation on nematode communities;2002;Journal Article;Applied Soil Ecology;Wu, J. H.;;;;;;;;;;
483;HP1_2006__Wunderle;Wunderle et al. 2006;WunderleEtAl2006;Short-term responses of birds to forest gaps and understory: an assessment of reduced-impact logging in a lowland Amazon forest;2006;Journal Article;Biotropica;Wunderle, J. M.;;;;;;;;;;
484;AD1_2012__Yamaura;Yamaura et al. 2012;YamauraEtAl2012;Biodiversity of man-made open habitats in an underused country: a class of multispecies abundance models for count data;2012;Journal Article;Biodiversity and Conservation;Yamaura, Y.;;;;;;;;;;
485;HW1_2011__Yoshikura;Yoshikura et al. 2011;YoshikuraEtAl2011;Comparative study of forest-dwelling bats' abundances and species richness between old-growth forests and conifer plantations in Nikko National Park, central Japan;2011;Journal Article;Mammal Study;Yoshikura, S.;;;;;;;;;;
